num_qubits,circuit_depth,num_shots,num_cnot_gates,completion_time
90,129,3493,9,51.477225629664794
58,70,9799,18,32.2271329248489
48,98,5012,46,48.01577458389782
92,75,5987,29,45.4084752912639
99,61,3387,48,59.29949958932662
89,37,5965,5,40.34034600165972
60,181,4068,11,54.64471365982163
47,147,3844,43,44.088990645348495
56,98,6271,43,44.04317665735145
28,191,7391,16,58.02939188462918
21,50,3462,19,29.620616667206868
94,54,9674,34,51.55832341164871
74,175,6337,21,66.09431838917249
99,66,6475,8,36.01032904184956
70,172,4616,47,56.928325861371476
98,167,4189,24,67.82948268108
35,115,7822,42,39.455602580885255
95,68,9297,45,65.47964027243118
73,119,9121,23,56.63089987837132
90,174,5403,42,72.18083158002928
86,135,1158,30,54.35906251624345
16,77,8084,24,42.784766273697414
22,115,6913,15,30.180743318172766
27,73,3616,10,20.215860958201795
44,81,1729,48,40.15048541732372
94,179,2205,26,77.79423975228694
43,90,7092,22,49.26650288188472
64,178,1806,47,61.109156871121705
50,89,9062,9,42.66655484367883
77,150,1230,7,58.62636712885508
41,175,6251,39,60.5639861833663
64,185,4839,29,71.5413769660265
64,69,1068,30,34.51978509524724
51,121,9096,46,46.9256093191238
62,80,7845,32,42.804393944741705
53,175,1567,20,49.17178964890804
91,130,7635,11,61.73385487541934
48,182,5094,40,69.505891470986
99,116,5312,37,60.841798463717815
73,166,6818,27,59.63793482099957
65,161,3541,39,56.830209863909374
11,81,2065,36,33.65050757632876
19,103,9446,23,41.97589052424112
38,130,7467,39,50.31969636902971
27,51,1768,14,34.50382908938489
91,43,1584,27,29.00313285220017
36,65,8821,6,32.53631076026331
91,186,5094,42,85.53023381888401
39,27,1719,43,18.340837331098246
61,123,9943,5,46.23622463279397
85,59,9273,25,42.91821163215397
76,76,7028,30,51.69167592985556
65,164,9265,15,56.29570650125671
61,179,1842,28,54.634349619640126
42,193,1599,43,53.60205562222525
50,117,5326,20,41.79006890870769
60,28,7647,48,36.992707628681096
86,72,2339,19,45.68534229199476
53,73,4758,29,36.60401660094071
27,51,8424,32,36.02715607130969
59,84,3324,27,48.82990083987277
75,121,2643,18,45.73485823760638
63,98,3316,22,49.71478381456971
47,121,7705,21,50.6154602194283
53,125,7077,12,46.41193176989387
41,65,1293,39,34.71327999969743
85,193,1958,20,67.28262993599537
59,86,1439,11,34.63525030815634
86,187,5028,5,56.20613916088817
50,166,5041,49,61.006948473140994
72,23,5899,28,27.423646087974397
31,51,5247,14,37.21569542833094
77,111,1737,29,50.85833129503162
62,35,3677,5,33.89006888381175
22,55,1564,21,29.447397446410612
54,21,7423,16,39.203788080444205
87,133,6229,39,56.6001960682915
58,195,9310,20,66.900055768217
15,150,8977,15,50.308852177108925
54,74,7819,12,49.06613500198739
57,136,9634,43,58.66504204188189
49,174,9483,14,57.14981471002414
72,108,9314,28,55.87155908105658
44,117,6141,13,47.50124477177626
52,50,4553,8,28.72811565611579
18,70,9609,29,29.84891426144717
48,60,1964,24,27.336343809841487
83,122,5394,22,43.42123321925942
85,73,2066,26,46.77330984732466
31,183,1439,49,57.914975303440094
38,192,2529,30,60.467515557366205
97,59,2671,5,40.928043561315974
13,170,5117,11,50.251389338698836
49,56,4249,14,34.316082218860075
44,120,4556,8,45.622498445818366
89,27,4039,24,42.35823611360924
29,94,4966,13,40.387843660586206
66,50,4387,15,36.99753963380273
63,84,8704,35,45.73866352353197
11,106,7091,24,39.39355075089273
86,121,5116,20,54.743571837291334
13,52,4557,13,24.676897024388115
37,121,8005,36,45.40638624367885
88,142,1567,16,58.916888614241955
62,158,9206,29,63.07865007238171
39,87,4279,5,29.720244022706183
17,31,3217,35,22.0834409460758
90,73,5089,8,50.97868810727614
50,62,9024,17,38.15721961687662
87,70,5650,30,51.15379088863051
24,149,7946,33,49.1003957295303
19,49,9217,9,36.1897102163143
58,100,2038,34,42.964469527617915
69,23,6292,11,28.162082925618343
63,149,8344,31,58.87575409406399
82,50,1006,42,29.585346918861404
67,47,5329,25,45.41391345326298
66,78,5982,39,54.016463165140266
15,62,7913,17,28.705816846289387
32,109,9325,37,44.79638213102096
89,93,3171,43,47.53880474854485
67,128,1798,7,56.68570863882756
61,30,7518,5,33.06479023238474
31,106,8215,35,39.78353611303398
31,199,6708,48,64.17935726314003
96,64,5114,22,38.21281920379124
73,170,5998,28,63.96962146542886
52,51,2665,18,32.28566641427555
10,41,4183,33,27.47517253152221
12,130,6929,28,45.73092314190348
54,94,5811,17,46.27750207614732
42,101,6015,6,31.176100097232613
68,74,9804,27,50.28296361799085
71,176,7100,17,61.98055398167673
89,62,5992,30,48.18344843408596
47,173,1919,24,48.28505660985276
59,40,3284,29,28.087369926650013
32,151,5013,24,50.047006338504765
89,107,7724,22,52.69741347663806
85,136,8049,21,57.00947377945469
61,100,5747,45,43.31524687510459
32,30,3937,11,24.11676573618482
27,192,9367,18,54.79985473690139
42,34,4908,12,37.54102136466264
59,161,3792,6,50.494283534736496
46,178,5549,18,59.19909371626449
70,154,1628,20,51.681096457276865
89,151,6292,5,52.27116087694467
61,135,8561,27,55.21527958751129
45,55,3415,7,22.710179943695458
55,60,4014,25,29.98078545919736
50,164,8845,22,56.203973943740934
66,187,1011,47,65.03911877477142
39,85,3618,40,32.49090851323005
85,78,2514,47,35.62978509556685
21,101,3797,45,32.62224641445435
12,101,5283,31,38.26546830159883
25,74,6094,41,41.18849366436349
72,159,4154,17,58.29990472561759
43,58,7035,43,38.37541910573022
14,72,8191,5,32.739269434322445
71,181,2168,34,56.226229339063
98,171,5296,18,70.0175916788831
32,156,1620,26,43.60754635527913
42,83,9001,5,37.39525298553315
29,139,2532,24,39.52920401629333
68,20,3096,5,29.24541117196543
36,135,3810,31,34.795348795183834
68,76,9092,22,50.00978340948674
38,111,4532,15,42.35829693463047
16,80,8790,21,36.86507100008515
87,34,8102,31,48.347569583922706
85,24,2755,24,30.803803013194884
78,68,1211,15,39.153434035342094
46,186,9998,19,68.27029505253854
41,106,2657,29,30.074520750889306
31,98,5348,34,41.73895445205904
18,80,8903,45,32.040296935942976
20,43,9833,35,26.578948833414557
28,110,3345,22,42.92480725061425
67,190,3450,15,50.37095857036246
37,34,7215,32,35.00944089473054
46,154,7532,16,56.38000071128235
99,90,2860,43,45.15194590116533
47,83,8898,15,44.03186202773445
16,24,5466,26,33.9385031581158
82,161,8674,40,73.30800432107448
33,67,7426,48,37.85961818010493
51,171,6427,39,63.08519210207055
55,198,7379,30,59.18355446263993
20,38,1163,16,20.179722718626607
79,91,3215,40,42.98323988288627
91,122,6899,46,63.67683755998101
37,152,9561,19,58.1429466501518
52,36,8901,23,39.78978456094681
49,195,8176,41,62.39961927746042
81,163,7796,25,70.31673646491834
11,123,7861,31,46.41529452458953
40,97,4395,29,43.23806701120728
22,69,7697,39,35.469171142237656
16,101,3804,47,45.82545298875863
52,176,8976,22,53.79816420927966
15,46,9999,37,22.688737778661853
51,35,6613,7,30.116063018759895
80,35,8847,38,43.41938832324559
25,133,7998,44,51.55886489475833
26,39,6883,34,30.6579723426108
96,184,1430,23,70.41823678880664
14,100,9748,14,40.9872079003589
98,186,2263,13,65.39776464032472
66,103,8452,27,47.274332944579726
93,111,1261,39,51.245720739923975
97,59,2525,17,47.21747978941917
33,82,7691,6,39.75621814213095
53,166,6995,17,64.57524663720747
91,167,8944,27,66.0497213959024
91,165,4280,40,72.39177006283091
13,162,9291,25,48.310277569892655
76,98,1007,38,42.520548284035485
11,121,2681,10,37.33071509017449
13,94,9638,9,34.9137800823377
77,26,9707,20,40.18645797664978
36,194,4136,19,53.55835928718194
75,52,5578,24,42.131641944081494
57,115,8949,7,45.41195284308953
59,31,4968,38,40.267249503050635
47,45,1127,34,36.62800454351735
43,28,9278,27,32.965053133104874
54,54,2222,35,41.113805591277554
63,87,7739,46,45.206893225804606
95,144,2596,46,63.28509902779907
95,53,8067,28,52.8723540913418
36,94,8086,9,46.63911654383254
41,86,7506,11,38.470049794012525
50,153,3942,48,57.531001155988875
35,152,9533,47,53.61210259819498
22,99,6309,27,33.07100451047499
87,94,1844,31,51.448141480532804
27,111,9658,17,41.36459734186727
15,196,9788,19,59.28782682894948
36,140,5379,9,41.19609045798076
10,75,8214,44,34.79874097039545
97,155,9524,40,62.229357799315274
74,176,6440,35,63.33264532664491
46,175,1451,36,55.60979304136383
28,98,3394,33,25.151770606157886
85,77,8050,17,55.479181844495464
63,92,4291,10,39.177593153309964
51,186,2595,11,54.925583949493976
51,105,6085,31,47.17176400116472
43,131,3242,39,49.51716681749982
86,197,5043,49,62.38701179448307
92,185,1918,34,54.01178893211346
41,29,7375,38,18.098561215730317
76,32,3958,30,37.10242671096255
53,66,8177,5,36.27342438454253
22,185,3877,27,57.43469479264419
79,116,7712,20,56.31238784494816
61,103,4697,33,45.01627962575313
47,77,4202,11,36.708174371684045
79,190,6688,26,69.75420114094548
44,85,4927,26,43.43005546253661
82,146,4589,32,52.216589693782375
48,120,7004,6,52.14590728350246
69,97,1377,5,49.124979883596495
69,84,4377,17,35.34896708593783
19,91,5291,45,43.7434325229115
36,29,4746,38,33.38324343170189
50,118,7093,30,40.33730103486444
59,39,3541,7,35.38613567299885
20,61,9099,29,29.28847416426565
27,99,3302,28,35.039022267875325
66,105,7691,7,41.681111975377625
80,96,2431,9,46.48803264036459
44,124,8780,10,41.636953827088426
14,87,4619,31,39.01580996971593
88,110,5165,21,45.639395834172525
18,149,9941,20,54.42114764105132
46,59,6822,21,31.93766471382689
72,169,1475,40,65.42319337713636
28,33,8286,43,29.564536590080916
58,50,3257,6,38.464248123608016
89,198,4281,47,75.51157864189746
55,180,6151,34,54.1006545894527
94,173,5175,46,62.616980696639644
19,55,9997,41,36.06394480933245
25,22,5010,49,30.03120113556082
57,193,5675,37,58.76207681558144
18,91,4468,30,29.64770402656106
98,33,7277,14,46.55435250665076
21,101,4498,33,26.55636363830898
69,56,2799,27,33.33591351919127
67,40,7247,46,41.34468432856755
56,55,2778,15,38.8675940084168
64,28,9286,29,31.26498282489071
11,170,7605,42,49.866970455644314
96,98,9172,29,40.55256107146275
56,52,4082,10,33.14729563223808
68,73,6136,6,42.96417603406708
30,83,4841,39,34.19914783741758
51,165,2253,7,44.85814783482072
99,55,6069,40,49.39028418427537
70,141,8816,31,58.84118262984925
16,68,2638,37,19.733722032212896
64,50,7045,47,35.944121949856
13,150,9181,48,40.24168765582067
98,107,6122,13,45.55903885495525
35,89,7200,39,42.22020985285708
85,91,4596,17,47.37793948314813
99,40,1109,32,36.93736839160918
82,191,2524,10,56.74797387198406
78,95,8192,24,47.16389118322725
37,136,8190,10,45.955628860217445
43,168,4750,40,59.29368892564176
56,48,5741,6,35.44031907261832
95,36,4855,31,46.11352899034672
85,188,5312,34,64.60522169423096
63,165,4424,13,47.33904856172157
53,79,2919,18,34.35367323498288
82,87,7680,5,43.358929790772784
85,46,1993,47,38.300312132621684
79,124,1446,25,41.39350498820427
74,44,7803,10,35.95955833792447
42,137,7082,27,54.58820324850973
66,69,3260,29,46.063096365525595
21,125,4801,21,31.413397777011497
49,42,5061,34,27.12921180114061
91,104,6527,23,49.43681827465589
16,45,8260,8,27.736725210606636
67,66,4665,25,37.96155497097241
20,47,5877,21,26.199187303246447
27,103,3641,24,34.776774047746294
95,43,6201,6,40.075229977752244
43,43,5621,18,32.6295019321101
65,85,1647,15,35.40458394404362
58,105,6450,33,45.58225611004967
50,67,4777,47,34.510737067955105
33,59,5675,39,35.966583330833686
49,64,2388,39,33.051857199051916
67,176,8519,21,61.645109466911
77,25,1494,33,37.695516250320566
43,47,2675,22,39.96123877794122
87,121,8578,22,61.697548564960506
26,102,2139,33,38.110586149980584
95,83,3437,10,57.68212498792765
47,48,9155,39,32.43944588598586
21,76,6160,11,36.34906262793509
73,126,6892,18,52.6832498816541
99,144,2503,7,63.69370765162617
33,77,6092,20,34.39169523284405
54,173,7329,6,61.34272314898455
78,94,5720,32,35.85321326642098
13,197,1060,37,55.46981097860099
97,124,5444,17,57.76833583761627
55,141,4602,10,39.48248789991054
55,193,7814,33,59.85478798860891
88,49,7878,26,50.722052085768375
77,149,5122,13,51.97689815379403
17,76,8754,49,34.3092183137323
42,103,1864,37,35.83364461151048
92,143,7804,14,58.2355668744204
24,72,2907,30,32.160035004164456
52,83,7883,29,38.56038982042997
81,137,5435,26,55.59606829969156
24,96,6338,26,38.91536774498595
69,142,2521,12,50.084542323374244
43,93,6219,17,44.316113745219255
10,35,7063,47,30.226427179168645
43,155,6383,8,50.20302739380193
12,26,4845,19,28.33548372937654
37,96,4055,9,40.91611502656857
10,103,8474,23,46.718580622776784
41,103,3454,31,38.943824124801495
